Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
The Boys,1,3629,91,101,84
The Boys,2,1638,79,95,97
Schitt's Creek,1,747,89,26,65
Schitt's Creek,2,278,95,6,100
Schitt's Creek,4,193,96,13,100
Schitt's Creek,5,229,94,17,100
Schitt's Creek,6,273,92,34,100
Emily in Paris,1,377,62,54,65
This Is Us,1,1523,91,71,92
This Is Us,2,595,83,25,92
This Is Us,3,281,82,9,94
This Is Us,4,106,87,10,90
This Is Us,5,32,44,7,100
Cobra Kai,1,4856,95,46,100
Cobra Kai,2,354,91,28,89
The Office,1,17,88,39,69
The Office,2,582,98,13,100
The Office,3,655,98,13,100
The Office,4,606,98,12,83
The Office,5,574,98,16,100
The Office,6,521,94,15,73
The Office,7,528,93,24,83
The Office,8,540,57,25,44
The Office,9,786,87,42,79
New Girl,1,464,85,38,87
New Girl,2,313,88,18,89
New Girl,3,402,83,16,94
New Girl,4,360,87,11,100
New Girl,5,201,80,6,100
New Girl,7,120,76,11,100
Truth Seekers,1,40,88,32,78
Community,1,788,96,41,90
Community,2,656,98,18,100
Community,3,594,97,22,91
Community,4,553,57,40,65
Community,5,753,94,42,93
Community,6,619,85,36,89
Shameless,1,51,90,37,70
Shameless,2,354,94,11,100
Shameless,3,325,94,13,92
Shameless,4,460,95,15,100
Shameless,5,23,87,12,92
Shameless,6,23,83,10,100
Shameless,7,193,92,8,88
Shameless,8,378,79,7,100
Shameless,9,221,58,10,70
Shameless,10,167,52,5,40
Modern Family,1,482,95,29,100
Modern Family,2,328,95,16,88
Modern Family,3,316,97,13,92
Modern Family,4,305,91,12,67
Modern Family,5,404,91,10,90
Modern Family,6,355,87,7,100
Modern Family,7,196,85,6,67
Modern Family,11,35,80,14,79
Ted Lasso,1,383,98,52,87
Brooklyn Nine-Nine,1,1687,94,57,89
Brooklyn Nine-Nine,2,951,96,17,100
Brooklyn Nine-Nine,3,749,96,14,93
Brooklyn Nine-Nine,4,588,96,13,100
Brooklyn Nine-Nine,5,597,94,14,100
Brooklyn Nine-Nine,6,1212,89,27,100
Brooklyn Nine-Nine,7,215,91,9,89
Suits,1,567,90,19,74
Suits,2,393,94,13,85
Suits,3,433,91,12,83
Suits,4,664,94,9,100
Suits,5,388,91,11,100
Suits,6,336,79,10,100
Suits,7,177,85,15,93
Suits,8,210,73,12,100
Suits,9,58,76,5,80
Archer,1,503,95,20,95
Archer,2,360,96,14,100
Archer,3,331,96,11,91
Archer,4,332,95,21,95
Archer,5,545,90,12,100
Archer,6,326,96,11,91
Archer,7,224,89,13,100
Archer,8,219,66,14,86
Archer,9,192,59,12,67
Archer,10,73,73,11,91
Archer,11,23,87,5,80
How I Met Your Mother,1,781,90,16,63
How I Met Your Mother,3,541,92,5,100
How I Met Your Mother,4,509,91,5,100
How I Met Your Mother,5,485,88,7,100
How I Met Your Mother,6,475,83,5,100
How I Met Your Mother,7,482,79,9,78
How I Met Your Mother,8,520,62,13,54
How I Met Your Mother,9,1102,72,20,75
American Housewife,1,144,81,38,58
The Goldbergs,1,272,89,42,55
The Goldbergs,2,157,93,5,100
The Good Place,1,2030,92,73,92
The Good Place,2,2151,89,58,100
The Good Place,3,1822,86,47,98
The Good Place,4,582,87,51,100
It's Always Sunny in Philadelphia,1,336,89,18,78
It's Always Sunny in Philadelphia,2,240,96,21,95
It's Always Sunny in Philadelphia,3,207,97,20,90
It's Always Sunny in Philadelphia,4,198,97,14,100
It's Always Sunny in Philadelphia,5,195,96,17,94
It's Always Sunny in Philadelphia,6,180,96,16,94
It's Always Sunny in Philadelphia,7,185,96,14,100
It's Always Sunny in Philadelphia,8,181,97,14,100
It's Always Sunny in Philadelphia,9,257,97,22,100
It's Always Sunny in Philadelphia,10,287,96,14,100
It's Always Sunny in Philadelphia,11,162,96,14,100
It's Always Sunny in Philadelphia,12,210,89,21,90
It's Always Sunny in Philadelphia,13,185,75,18,94
It's Always Sunny in Philadelphia,14,102,90,12,83
South Park,1,262,86,11,82
South Park,5,149,97,8,100
South Park,10,154,93,7,100
South Park,11,144,93,6,100
South Park,12,141,88,5,100
South Park,13,142,88,7,71
South Park,14,157,89,10,80
South Park,15,143,85,9,89
South Park,16,155,86,9,100
South Park,17,212,86,5,60
South Park,19,302,87,10,100
South Park,20,288,72,11,73
Rick and Morty,1,2168,97,28,96
Rick and Morty,2,1548,98,13,91
Rick and Morty,3,1897,95,10,96
Rick and Morty,4,966,83,33,94
Parks and Recreation,1,561,70,37,68
Parks and Recreation,2,561,95,23,96
Parks and Recreation,3,546,97,23,100
Parks and Recreation,4,501,97,20,100
Parks and Recreation,5,482,95,24,96
Parks and Recreation,6,661,95,23,96
Parks and Recreation,7,593,92,27,89
The Unicorn,1,86,74,27,85
Julie and the Phantoms,1,349,99,24,92
Orange Is the New Black,1,2056,92,56,95
Orange Is the New Black,2,1952,92,53,96
Orange Is the New Black,3,1268,79,64,95
Orange Is the New Black,4,1089,87,52,94
