Year,Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
2019,The Boys,1,3629,91,101,84
2020,The Boys,2,1638,79,95,97
2015,Schitt's Creek,1,747,89,26,65
2016,Schitt's Creek,2,278,95,6,100
2017,Schitt's Creek,4,193,96,13,100
2019,Schitt's Creek,5,229,94,17,100
2020,Schitt's Creek,6,273,92,34,100
2019,Emily in Paris,1,377,62,54,65
2016,This Is Us,1,1523,91,71,92
2017,This Is Us,2,595,83,25,92
2018,This Is Us,3,281,82,9,94
2019,This Is Us,4,106,87,10,90
2020,This Is Us,5,32,44,7,100
2018,Cobra Kai,1,4856,95,46,100
2019,Cobra Kai,2,354,91,28,89
2005,The Office,1,17,88,39,69
2005,The Office,2,582,98,13,100
2006,The Office,3,655,98,13,100
2007,The Office,4,606,98,12,83
2008,The Office,5,574,98,16,100
2009,The Office,6,521,94,15,73
2010,The Office,7,528,93,24,83
2011,The Office,8,540,57,25,44
2012,The Office,9,786,87,42,79
2011,New Girl,1,464,85,38,87
2012,New Girl,2,313,88,18,89
2013,New Girl,3,402,83,16,94
2014,New Girl,4,360,87,11,100
2016,New Girl,5,201,80,6,100
2017,New Girl,7,120,76,11,100
2020,Truth Seekers,1,40,88,32,78
2009,Community,1,788,96,41,90
2010,Community,2,656,98,18,100
2011,Community,3,594,97,22,91
2013,Community,4,553,57,40,65
2013,Community,5,753,94,42,93
2015,Community,6,619,85,36,89
2011,Shameless,1,51,90,37,70
2012,Shameless,2,354,94,11,100
2013,Shameless,3,325,94,13,92
2014,Shameless,4,460,95,15,100
2015,Shameless,5,23,87,12,92
2016,Shameless,6,23,83,10,100
2016,Shameless,7,193,92,8,88
2017,Shameless,8,378,79,7,100
2018,Shameless,9,221,58,10,70
2019,Shameless,10,167,52,5,40
2009,Modern Family,1,482,95,29,100
2010,Modern Family,2,328,95,16,88
2011,Modern Family,3,316,97,13,92
2012,Modern Family,4,305,91,12,67
2013,Modern Family,5,404,91,10,90
2014,Modern Family,6,355,87,7,100
2015,Modern Family,7,196,85,6,67
2019,Modern Family,11,35,80,14,79
2020,Ted Lasso,1,383,98,52,87
2013,Brooklyn Nine-Nine,1,1687,94,57,89
2014,Brooklyn Nine-Nine,2,951,96,17,100
2015,Brooklyn Nine-Nine,3,749,96,14,93
2017,Brooklyn Nine-Nine,4,588,96,13,100
2017,Brooklyn Nine-Nine,5,597,94,14,100
2019,Brooklyn Nine-Nine,6,1212,89,27,100
2020,Brooklyn Nine-Nine,7,215,91,9,89
2011,Suits,1,567,90,19,74
2012,Suits,2,393,94,13,85
2013,Suits,3,433,91,12,83
2014,Suits,4,664,94,9,100
2015,Suits,5,388,91,11,100
2016,Suits,6,336,79,10,100
2017,Suits,7,177,85,15,93
2018,Suits,8,210,73,12,100
2019,Suits,9,58,76,5,80
2009,Archer,1,503,95,20,95
2011,Archer,2,360,96,14,100
2012,Archer,3,331,96,11,91
2013,Archer,4,332,95,21,95
2014,Archer,5,545,90,12,100
2015,Archer,6,326,96,11,91
2016,Archer,7,224,89,13,100
2017,Archer,8,219,66,14,86
2018,Archer,9,192,59,12,67
2019,Archer,10,73,73,11,91
2020,Archer,11,23,87,5,80
2005,How I Met Your Mother,1,781,90,16,63
2007,How I Met Your Mother,3,541,92,5,100
2008,How I Met Your Mother,4,509,91,5,100
2009,How I Met Your Mother,5,485,88,7,100
2010,How I Met Your Mother,6,475,83,5,100
2011,How I Met Your Mother,7,482,79,9,78
2012,How I Met Your Mother,8,520,62,13,54
2013,How I Met Your Mother,9,1102,72,20,75
2016,American Housewife,1,144,81,38,58
2013,The Goldbergs,1,272,89,42,55
2014,The Goldbergs,2,157,93,5,100
2016,The Good Place,1,2030,92,73,92
2017,The Good Place,2,2151,89,58,100
2018,The Good Place,3,1822,86,47,98
2019,The Good Place,4,582,87,51,100
2005,It's Always Sunny in Philadelphia,1,336,89,18,78
2006,It's Always Sunny in Philadelphia,2,240,96,21,95
2007,It's Always Sunny in Philadelphia,3,207,97,20,90
2008,It's Always Sunny in Philadelphia,4,198,97,14,100
2009,It's Always Sunny in Philadelphia,5,195,96,17,94
2010,It's Always Sunny in Philadelphia,6,180,96,16,94
2011,It's Always Sunny in Philadelphia,7,185,96,14,100
2012,It's Always Sunny in Philadelphia,8,181,97,14,100
2013,It's Always Sunny in Philadelphia,9,257,97,22,100
2015,It's Always Sunny in Philadelphia,10,287,96,14,100
2016,It's Always Sunny in Philadelphia,11,162,96,14,100
2017,It's Always Sunny in Philadelphia,12,210,89,21,90
2018,It's Always Sunny in Philadelphia,13,185,75,18,94
2019,It's Always Sunny in Philadelphia,14,102,90,12,83
1997,South Park,1,262,86,11,82
2001,South Park,5,149,97,8,100
2006,South Park,10,154,93,7,100
2007,South Park,11,144,93,6,100
2008,South Park,12,141,88,5,100
2009,South Park,13,142,88,7,71
2010,South Park,14,157,89,10,80
2011,South Park,15,143,85,9,89
2012,South Park,16,155,86,9,100
2013,South Park,17,212,86,5,60
2015,South Park,19,302,87,10,100
2016,South Park,20,288,72,11,73
2013,Rick and Morty,1,2168,97,28,96
2015,Rick and Morty,2,1548,98,13,91
2017,Rick and Morty,3,1897,95,10,96
2019,Rick and Morty,4,966,83,33,94
2009,Parks and Recreation,1,561,70,37,68
2009,Parks and Recreation,2,561,95,23,96
2011,Parks and Recreation,3,546,97,23,100
2011,Parks and Recreation,4,501,97,20,100
2012,Parks and Recreation,5,482,95,24,96
2013,Parks and Recreation,6,661,95,23,96
2015,Parks and Recreation,7,593,92,27,89
2019,The Unicorn,1,86,74,27,85
2020,Julie and the Phantoms,1,349,99,24,92
2013,Orange Is the New Black,1,2056,92,56,95
2014,Orange Is the New Black,2,1952,92,53,96
2015,Orange Is the New Black,3,1268,79,64,95
2016,Orange Is the New Black,4,1089,87,52,94
2017,Orange Is the New Black,5,630,72,49,71
2018,Orange Is the New Black,6,341,74,37,84
2019,Orange Is the New Black,7,278,74,40,98
2019,What We Do in the Shadows,1,679,95,70,94
2020,What We Do in the Shadows,2,434,93,30,100
2009,Glee,1,348,90,49,88
2010,Glee,2,252,87,29,79
2011,Glee,3,236,77,19,53
2012,Glee,4,226,52,23,65
2013,Glee,5,319,46,14,71
2015,Glee,6,235,70,18,72
2017,The Marvelous Mrs. Maisel,1,1531,96,82,94
2018,The Marvelous Mrs. Maisel,2,446,92,71,92
